"adj.P.Val_LWT_MCD.LWT_CTRL";"adj.P.Val_LKO_MCD.LKO_CTRL";"adj.P.Val_LKO_MCD.LWT_MCD";"adj.P.Val_LKO_CTRL.LWT_CTRL";"adj.P.Val_.LWT_MCD.LWT_CTRL...LKO_MCD.LKO_CTRL."
"1614";"1785";"";"";""
"1615";"1786";"";"";""
"1617";"1788";"";"";""
"1618";"1792";"";"";""
"1619";"1793";"";"";""
"1621";"1795";"";"";""
"1622";"1798";"";"";""
"1627";"1799";"";"";""
"1628";"1800";"";"";""
"1629";"1801";"";"";""
"1630";"1802";"";"";""
"1631";"1803";"";"";""
"1632";"1804";"";"";""
"1633";"1806";"";"";""
"1637";"1808";"";"";""
"1640";"1818";"";"";""
"1641";"1819";"";"";""
"1643";"1821";"";"";""
"1644";"1826";"";"";""
"1646";"1827";"";"";""
"1647";"1828";"";"";""
"1650";"1830";"";"";""
"1651";"1833";"";"";""
"1653";"1834";"";"";""
"1661";"1835";"";"";""
"1662";"1837";"";"";""
"1663";"1839";"";"";""
"1664";"1840";"";"";""
"1668";"1841";"";"";""
"1672";"1845";"";"";""
"1673";"1847";"";"";""
"1675";"1849";"";"";""
"1676";"1851";"";"";""
"1677";"1852";"";"";""
"1679";"1853";"";"";""
"1681";"1855";"";"";""
"1683";"1857";"";"";""
"1684";"1862";"";"";""
"1687";"1863";"";"";""
"1689";"1864";"";"";""
"1690";"1865";"";"";""
"1691";"1868";"";"";""
"1695";"1871";"";"";""
"1697";"1872";"";"";""
"1699";"1873";"";"";""
"1700";"1875";"";"";""
"1701";"1878";"";"";""
"1704";"1880";"";"";""
"1706";"1881";"";"";""
"1707";"1887";"";"";""
"1708";"1889";"";"";""
"1709";"1892";"";"";""
"1710";"1895";"";"";""
"1711";"1896";"";"";""
"1713";"1897";"";"";""
"1715";"1898";"";"";""
"1716";"1900";"";"";""
"1717";"1901";"";"";""
"1721";"1903";"";"";""
"1722";"1904";"";"";""
"1723";"1906";"";"";""
"1724";"1908";"";"";""
"1725";"1909";"";"";""
"1726";"1910";"";"";""
"1728";"1911";"";"";""
"1729";"1912";"";"";""
"1730";"1914";"";"";""
"1731";"1915";"";"";""
"1732";"1919";"";"";""
"1733";"1920";"";"";""
"1734";"1921";"";"";""
"1735";"1922";"";"";""
"1737";"1923";"";"";""
"1741";"1925";"";"";""
"1742";"1926";"";"";""
"1746";"1935";"";"";""
"1747";"1937";"";"";""
"1748";"1939";"";"";""
"1752";"1940";"";"";""
"1753";"1943";"";"";""
"1755";"1950";"";"";""
"1758";"1951";"";"";""
"1759";"1955";"";"";""
"1764";"1956";"";"";""
"1765";"1963";"";"";""
"1767";"1967";"";"";""
"1768";"1972";"";"";""
"1770";"1975";"";"";""
"1771";"1978";"";"";""
"1772";"1979";"";"";""
"1775";"1983";"";"";""
"1776";"1984";"";"";""
"1778";"1988";"";"";""
"1779";"1990";"";"";""
"1782";"1992";"";"";""
"1786";"1998";"";"";""
"1788";"1999";"";"";""
"1793";"2002";"";"";""
"1795";"2003";"";"";""
"1796";"2004";"";"";""
"1797";"2007";"";"";""
"1798";"2011";"";"";""
"1801";"2013";"";"";""
"1802";"2014";"";"";""
"1804";"2015";"";"";""
"1805";"2016";"";"";""
"1808";"2017";"";"";""
"1809";"2018";"";"";""
"1810";"2022";"";"";""
"1813";"2023";"";"";""
"1816";"2025";"";"";""
"1818";"2028";"";"";""
"1819";"2029";"";"";""
"1826";"2034";"";"";""
"1827";"2037";"";"";""
"1828";"2039";"";"";""
"1830";"2040";"";"";""
"1834";"2041";"";"";""
"1837";"2042";"";"";""
"1839";"2046";"";"";""
"1841";"2047";"";"";""
"1845";"2049";"";"";""
"1847";"2052";"";"";""
"1849";"2053";"";"";""
"1852";"2054";"";"";""
"1853";"2060";"";"";""
"1855";"2064";"";"";""
"1860";"2068";"";"";""
"1861";"2069";"";"";""
"1862";"2071";"";"";""
